;;;;;
Tanggal;Item;Kemasan (Ziplock/Jar/Botol/Dus);Qty;Harga;Total
31/03/2024;Jahe Bubuk;Jar 250gr;1; Rp80.000 ; Rp80.000 
31/03/2024;Arena Gula Aren;Jar 300gr;1; Rp50.000 ; Rp50.000 
31/03/2024;Bawang Putih Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
31/03/2024;Cabe Bubuk;Ziplock 50gr;6; Rp20.000 ; Rp120.000 
31/03/2024;Cengkeh Bubuk;Jar 250gr;2; Rp100.000 ; Rp200.000 
31/03/2024;Merica Bubuk;Jar 55gr;8; Rp40.000 ; Rp320.000 
31/03/2024;Cabe Bubuk;Jar 55gr;10; Rp40.000 ; Rp400.000 
31/03/2024;Bawang Putih Bubuk;Jar 250gr;7; Rp100.000 ; Rp700.000 
01/04/2024;Bawang Putih Bubuk;Ziplock 50gr;5; Rp20.000 ; Rp100.000 
01/04/2024;Merica Bubuk;Ziplock 50gr;2; Rp20.000 ; Rp40.000 
01/04/2024;Daun Kelor Bubuk;Jar 50gr;9; Rp30.000 ; Rp270.000 
01/04/2024;Kunyit Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
01/04/2024;Ketumbar Bubuk;Jar 55gr;6; Rp40.000 ; Rp240.000 
01/04/2024;Arena Gula Aren;Ziplock 200gr;7; Rp35.000 ; Rp245.000 
02/04/2024;Cabe Bubuk;Jar 55gr;2; Rp40.000 ; Rp80.000 
02/04/2024;Bawang Putih Bubuk;Jar 55gr;5; Rp40.000 ; Rp200.000 
02/04/2024;Jahe Bubuk;Jar 50gr;3; Rp50.000 ; Rp150.000 
02/04/2024;Daun Kelor Bubuk;Ziplock 125gr;4; Rp45.000 ; Rp180.000 
02/04/2024;Cabe Bubuk;Ziplock 50gr;10; Rp20.000 ; Rp200.000 
02/04/2024;Jahe Bubuk;Jar 250gr;9; Rp80.000 ; Rp720.000 
03/04/2024;Bawang Bombay Bubuk;Ziplock 50gr;3; Rp25.000 ; Rp75.000 
03/04/2024;Pala Bubuk;Jar 55gr;9; Rp45.000 ; Rp405.000 
03/04/2024;Cengkeh Bubuk;Ziplock 50gr;8; Rp25.000 ; Rp200.000 
03/04/2024;Bawang Putih Bubuk;Jar 250gr;5; Rp80.000 ; Rp400.000 
03/04/2024;Arena Arabica Wine COffe;Dus 20gr;20; Rp8.000 ; Rp160.000 
03/04/2024;Daun Kelor Bubuk;Jar 50gr;9; Rp30.000 ; Rp270.000 
04/04/2024;Cabe Bubuk;Jar 55gr;7; Rp40.000 ; Rp280.000 
04/04/2024;Kunyit Bubuk;Ziplock 50gr;6; Rp20.000 ; Rp120.000 
04/04/2024;Merica Bubuk;Jar 55gr;7; Rp40.000 ; Rp280.000 
04/04/2024;Ketumbar Bubuk;Jar 55gr;2; Rp40.000 ; Rp80.000 
04/04/2024;Jahe Bubuk;Jar 250gr;11; Rp80.000 ; Rp880.000 
04/04/2024;Arena Gula Aren;Jar 300gr;5; Rp50.000 ; Rp250.000 
04/04/2024;Bawang Putih Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
05/04/2024;Cengkeh Bubuk;Jar 250gr;2; Rp100.000 ; Rp200.000 
05/04/2024;Merica Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
05/04/2024;Cabe Bubuk;Ziplock 50gr;10; Rp20.000 ; Rp200.000 
05/04/2024;Ketumbar Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
05/04/2024;Arena Gula Aren Sirup;Botol 500ml;1; Rp40.000 ; Rp40.000 
06/04/2024;Arena Gula Aren;Ziplock 200gr;1; Rp35.000 ; Rp35.000 
06/04/2024;Arena Arabica Wine COffe;Dus 20gr;12; Rp8.000 ; Rp96.000 
06/04/2024;Kapulaga bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
06/04/2024;Daun Kelor Bubuk;Ziplock 125gr;1; Rp45.000 ; Rp45.000 
06/04/2024;Bawang Putih Bubuk;Ziplock 50gr;5; Rp20.000 ; Rp100.000 
06/04/2024;Cabe Bubuk;Jar 55gr;9; Rp40.000 ; Rp360.000 
06/04/2024;Cabe Bubuk;Ziplock 50gr;4; Rp20.000 ; Rp80.000 
06/04/2024;Ketumbar Bubuk;Jar 55gr;2; Rp40.000 ; Rp80.000 
07/04/2024;Jahe Bubuk;Jar 50gr;5; Rp30.000 ; Rp150.000 
07/04/2024;Ketumbar Bubuk;Jar 55gr;3; Rp40.000 ; Rp120.000 
07/04/2024;Kunyit Bubuk;Jar 250gr;7; Rp80.000 ; Rp560.000 
07/04/2024;Kapulaga Bubuk;Ziplock 50gr;5; Rp25.000 ; Rp125.000 
07/04/2024;Bawang Putih Bubuk;Ziplock 50gr;6; Rp20.000 ; Rp120.000 
07/04/2024;Merica Bubuk;Ziplock 50gr;3; Rp20.000 ; Rp60.000 
